country,year,production,lat,lng
Austria,2015,7271.462,47.5162,14.5501
Belgium,2015,21363.016,50.5039,4.4699
Bulgaria,2015,1599.484,42.7339,25.4858
Croatia,2015,1082.516,45.1,15.2
Cyprus,2015,0.0,35.1264,33.4299
Czechia,2015,2024.622,49.8175,15.473
Denmark,2015,1693.178,56.2639,9.5018
Estonia,2015,53.421,58.5953,25.0136
Finland,2015,4930.643,61.9241,25.7482
France,2015,19895.38,46.6034,1.8883
Germany,2015,58272.887,51.1657,10.4515
Greece,2015,8173.253,39.0742,21.8243
Hungary,2015,4614.169,47.1625,19.5033
Ireland,2015,11915.822,53.4129,-8.2439
Italy,2015,105569.978,41.8719,12.5674
Latvia,2015,2427.717,56.8796,24.6032
Lithuania,2015,1815.576,55.1694,23.8813
Luxembourg,2015,823.751,49.8153,6.1296
Malta,2015,0.0,35.9375,14.3754
Netherlands,2015,45206.501,52.1326,5.2913
Poland,2015,5792.986,51.9194,19.1451
Portugal,2015,10117.062,39.3999,-8.2245
Romania,2015,8104.3,45.9432,24.9668
Slovakia,2015,1397.549,48.669,19.699
Slovenia,2015,358.042,46.1512,14.9955
Spain,2015,49869.986,40.4637,-3.7492
Sweden,2015,410.086,60.1282,18.6435
EU27,2015,374783.387,,
Austria,2016,8071.677,47.5162,14.5501
Belgium,2016,21367.411,50.5039,4.4699
Bulgaria,2016,1757.526,42.7339,25.4858
Croatia,2016,1436.613,45.1,15.2
Cyprus,2016,0.0,35.1264,33.4299
Czechia,2016,3329.662,49.8175,15.473
Denmark,2016,2061.504,56.2639,9.5018
Estonia,2016,62.859,58.5953,25.0136
Finland,2016,3532.827,61.9241,25.7482
France,2016,32987.816,46.6034,1.8883
Germany,2016,76518.066,51.1657,10.4515
Greece,2016,13294.591,39.0742,21.8243
Hungary,2016,5845.007,47.1625,19.5033
Ireland,2016,14796.685,53.4129,-8.2439
Italy,2016,120705.732,41.8719,12.5674
Latvia,2016,2561.053,56.8796,24.6032
Lithuania,2016,882.331,55.1694,23.8813
Luxembourg,2016,247.885,49.8153,6.1296
Malta,2016,0.0,35.9375,14.3754
Netherlands,2016,50540.533,52.1326,5.2913
Poland,2016,7091.107,51.9194,19.1451
Portugal,2016,12076.667,39.3999,-8.2245
Romania,2016,8373.345,45.9432,24.9668
Slovakia,2016,1317.615,48.669,19.699
Slovenia,2016,375.361,46.1512,14.9955
Spain,2016,50305.867,40.4637,-3.7492
Sweden,2016,601.246,60.1282,18.6435
EU27,2016,440140.986,,
Austria,2017,10419.578,47.5162,14.5501
Belgium,2017,22077.164,50.5039,4.4699
Bulgaria,2017,1645.977,42.7339,25.4858
Croatia,2017,2860.952,45.1,15.2
Cyprus,2017,0.0,35.1264,33.4299
Czechia,2017,3293.495,49.8175,15.473
Denmark,2017,1836.792,56.2639,9.5018
Estonia,2017,53.283,58.5953,25.0136
Finland,2017,3122.146,61.9241,25.7482
France,2017,38207.892,46.6034,1.8883
