country,year,production,lat,lng
Austria,2015,48405.934,47.5162,14.5501
Belgium,2015,15308.409,50.5039,4.4699
Bulgaria,2015,9094.398,42.7339,25.4858
Croatia,2015,7611.559,45.1,15.2
Cyprus,2015,396.823,35.1264,33.4299
Czechia,2015,10128.543,49.8175,15.473
Denmark,2015,18636.517,56.2639,9.5018
Estonia,2015,1396.847,58.5953,25.0136
Finland,2015,29759.398,61.9241,25.7482
France,2015,95647.624,46.6034,1.8883
Germany,2015,188901.308,51.1657,10.4515
Greece,2015,14562.704,39.0742,21.8243
Hungary,2015,2989.11,47.1625,19.5033
Ireland,2015,8123.493,53.4129,-8.2439
Italy,2015,108039.839,41.8719,12.5674
Latvia,2015,2664.202,56.8796,24.6032
Lithuania,2015,2297.486,55.1694,23.8813
Luxembourg,2015,1848.759,49.8153,6.1296
Malta,2015,101.618,35.9375,14.3754
Netherlands,2015,13469.305,52.1326,5.2913
Poland,2015,22205.917,51.9194,19.1451
Portugal,2015,25164.421,39.3999,-8.2245
Romania,2015,26333.446,45.9432,24.9668
Slovakia,2015,5932.084,48.669,19.699
Slovenia,2015,4548.891,46.1512,14.9955
Spain,2015,97776.458,40.4637,-3.7492
Sweden,2015,101667.226,60.1282,18.6435
EU27,2015,863012.319,,
Austria,2016,51467.09,47.5162,14.5501
Belgium,2016,15132.223,50.5039,4.4699
Bulgaria,2016,7648.195,42.7339,25.4858
Croatia,2016,8433.404,45.1,15.2
Cyprus,2016,422.105,35.1264,33.4299
Czechia,2016,10035.875,49.8175,15.473
Denmark,2016,17974.506,56.2639,9.5018
Estonia,2016,1444.793,58.5953,25.0136
Finland,2016,29614.757,61.9241,25.7482
France,2016,102600.669,46.6034,1.8883
Germany,2016,189697.468,51.1657,10.4515
Greece,2016,14886.334,39.0742,21.8243
Hungary,2016,3027.353,47.1625,19.5033
Ireland,2016,7771.718,53.4129,-8.2439
Italy,2016,107598.961,41.8719,12.5674
Latvia,2016,3365.527,56.8796,24.6032
Lithuania,2016,2616.324,55.1694,23.8813
Luxembourg,2016,1852.729,49.8153,6.1296
Malta,2016,135.615,35.9375,14.3754
Netherlands,2016,14584.791,52.1326,5.2913
Poland,2016,22196.557,51.9194,19.1451
Portugal,2016,33107.475,39.3999,-8.2245
Romania,2016,27046.514,45.9432,24.9668
Slovakia,2016,6584.585,48.669,19.699
Slovenia,2016,5245.66,46.1512,14.9955
Spain,2016,105361.214,40.4637,-3.7492
Sweden,2016,88471.466,60.1282,18.6435
EU27,2016,878323.908,,
Austria,2017,52448.23,47.5162,14.5501
Belgium,2017,16576.751,50.5039,4.4699
Bulgaria,2017,6699.712,42.7339,25.4858
Croatia,2017,7201.523,45.1,15.2
Cyprus,2017,432.679,35.1264,33.4299
Czechia,2017,10204.061,49.8175,15.473
Denmark,2017,21238.905,56.2639,9.5018
